date,meantemp,humidity,wind_speed,meanpressure
07/07/2017,16,86,3,59
06/07/2017,19,77,3,1018
05/07/2017,17,82,4,1018
03/07/2017,19,70,5,1016
30/06/2017,18,75,3,1014
29/06/2017,19,79,9,1012
28/06/2017,15,96,10,1011
27/06/2017,16,84,2,1016
26/06/2017,15,81,7,1016
23/06/2017,12,72,9,1017
22/06/2017,11,72,10,1017
21/06/2017,12,75,7,1016
20/06/2017,13,67,6,1018
19/06/2017,13,74,5,1019
16/06/2017,16,73,4,1018
15/06/2017,15,78,10,1017
14/06/2017,12,84,8,1018
13/06/2017,13,78,6,1022
12/06/2017,15,75,10,1023
09/06/2017,15,66,11,1022
08/06/2017,15,71,14,1020
07/06/2017,18,76,6,1021
06/06/2017,18,76,7,1020
05/06/2017,18,68,3,1019
02/06/2017,21,70,9,1018
01/06/2017,16,92,8,1018
31/05/2017,17,77,14,1018
30/05/2017,15,83,10,1020
26/05/2017,16,82,10,1017
25/05/2017,16,78,4,1016
24/05/2017,16,76,5,1016
23/05/2017,15,79,5,1018
22/05/2017,17,67,3,1019
19/05/2017,16,78,2,1018
18/05/2017,19,78,10,1014
17/05/2017,19,78,8,1014
16/05/2017,17,70,9,1016
15/05/2017,15,64,8,1016
12/05/2017,16,68,4,1016
11/05/2017,15,68,8,1016
10/05/2017,15,72,9,1016
09/05/2017,16,64,4,1017
08/05/2017,16,70,2,1020
05/05/2017,16,67,6,1022
04/05/2017,17,66,7,1021
03/05/2017,18,68,6,1021
02/05/2017,20,57,10,1018
01/05/2017,21,64,9,1017
28/04/2017,21,71,6,1016
27/04/2017,22,66,6,1013
26/04/2017,23,60,7,1005
25/04/2017,22,69,12,1007
24/04/2017,19,57,7,1012
21/04/2017,19,43,14,1015
20/04/2017,19,40,17,1016
19/04/2017,19,50,12,1014
18/04/2017,19,59,11,1012
17/04/2017,20,58,5,1014
13/04/2017,23,52,4,1013
12/04/2017,24,48,6,1013
11/04/2017,24,54,6,1012
10/04/2017,21,43,7,1011
07/04/2017,19,43,8,1010
06/04/2017,20,41,10,1011
05/04/2017,20,42,10,1010
04/04/2017,23,42,6,1007
03/04/2017,22,53,10,1009
31/03/2017,21,69,8,1007
30/03/2017,20,68,11,1007
29/03/2017,19,60,6,1010
28/03/2017,17,57,8,1015
27/03/2017,17,49,9,1015
24/03/2017,18,56,5,1017
23/03/2017,20,55,7,1014
22/03/2017,24,49,6,1011
21/03/2017,21,60,11,1011
20/03/2017,25,46,7,1010
17/03/2017,25,52,9,1012
16/03/2017,23,55,10,1013
15/03/2017,25,49,9,1012
14/03/2017,27,45,10,1010
13/03/2017,28,50,3,1009
10/03/2017,29,38,10,1011
09/03/2017,27,39,10,1010
08/03/2017,29,37,18,1010
07/03/2017,30,39,14,1010
06/03/2017,30,41,9,1009
03/03/2017,31,35,13,1007
02/03/2017,29,37,11,1007
01/03/2017,31,38,7,1008
28/02/2017,31,35,9,1005
27/02/2017,30,34,9,1004
24/02/2017,31,30,7,1004
23/02/2017,31,32,14,1007
22/02/2017,29,46,14,1005
21/02/2017,31,26,14,1003
17/02/2017,27,30,5,1007
16/02/2017,26,29,8,1010
15/02/2017,27,21,14,1011
14/02/2017,28,19,19,1009
13/02/2017,29,18,16,1006
10/02/2017,29,26,9,1006
09/02/2017,30,29,5,1007
08/02/2017,31,38,1,1005
07/02/2017,31,30,6,1002
06/02/2017,31,34,2,1003
03/02/2017,33,38,5,1004
02/02/2017,34,27,8,1003
01/02/2017,34,24,9,1001
31/01/2017,35,28,6,999
30/01/2017,34,39,7,1000
27/01/2017,33,41,9,1002
26/01/2017,33,28,10,1002
25/01/2017,32,27,12,1004
24/01/2017,16,86,3,59
23/01/2017,19,77,3,1018
20/01/2017,17,82,4,1018
19/01/2017,19,70,5,1016
18/01/2017,18,75,3,1014
17/01/2017,19,79,9,1012
13/01/2017,15,96,10,1011
12/01/2017,16,84,2,1016
11/01/2017,15,81,7,1016
10/01/2017,12,72,9,1017
09/01/2017,11,72,10,1017
06/01/2017,12,75,7,1016
05/01/2017,13,67,6,1018
04/01/2017,13,74,5,1019
03/01/2017,16,73,4,1018
30/12/2016,15,78,10,1017
29/12/2016,12,84,8,1018
28/12/2016,13,78,6,1022
27/12/2016,15,75,10,1023
23/12/2016,15,66,11,1022
22/12/2016,15,71,14,1020
21/12/2016,18,76,6,1021
20/12/2016,18,76,7,1020
19/12/2016,18,68,3,1019
16/12/2016,21,70,9,1018
15/12/2016,16,92,8,1018
14/12/2016,17,77,14,1018
13/12/2016,15,83,10,1020
12/12/2016,16,82,10,1017
09/12/2016,16,78,4,1016
08/12/2016,16,76,5,1016
07/12/2016,15,79,5,1018
06/12/2016,17,67,3,1019
05/12/2016,16,78,2,1018
02/12/2016,19,78,10,1014
