Date,Open,High,Low,Close,Volume
07/07/2017,142.9,144.75,142.9,144.18,19201712
06/07/2017,143.02,143.5,142.41,142.73,24128782
05/07/2017,143.69,144.79,142.72,144.09,21569557
03/07/2017,144.88,145.3,143.1,143.5,14277848
30/06/2017,144.45,144.96,143.78,144.02,23024107
29/06/2017,144.71,145.13,142.28,143.68,31499368
28/06/2017,144.49,146.11,143.16,145.83,22082432
27/06/2017,145.01,146.16,143.62,143.73,24761891
26/06/2017,147.17,148.28,145.38,145.82,25692361
23/06/2017,145.13,147.16,145.11,146.28,35439389
22/06/2017,145.77,146.7,145.12,145.63,19106294
21/06/2017,145.52,146.07,144.61,145.87,21265751
20/06/2017,146.87,146.87,144.94,145.01,24900073
19/06/2017,143.66,146.74,143.66,146.34,32541404
16/06/2017,143.78,144.5,142.2,142.27,50361093
15/06/2017,143.32,144.48,142.21,144.29,32165373
14/06/2017,147.5,147.5,143.84,145.16,31531232
13/06/2017,147.16,147.45,145.15,146.59,34165445
12/06/2017,145.74,146.09,142.51,145.42,72307330
09/06/2017,155.19,155.19,146.02,148.98,64882657
08/06/2017,155.25,155.54,154.4,154.99,21250798
07/06/2017,155.02,155.98,154.48,155.37,21069647
06/06/2017,153.9,155.81,153.78,154.45,26624926
05/06/2017,154.34,154.45,153.46,153.93,25331662
02/06/2017,153.58,155.45,152.89,155.45,27770715
01/06/2017,153.17,153.33,152.22,153.18,16404088
31/05/2017,153.97,154.17,152.38,152.76,24451164
30/05/2017,153.42,154.43,153.33,153.67,20126851
26/05/2017,154,154.24,153.31,153.61,21927637
25/05/2017,153.73,154.35,153.03,153.87,19235598
24/05/2017,153.84,154.17,152.67,153.34,19219154
23/05/2017,154.9,154.9,153.31,153.8,19918871
22/05/2017,154,154.58,152.91,153.99,22966437
19/05/2017,153.38,153.98,152.63,153.06,26960788
18/05/2017,151.27,153.34,151.13,152.54,33568215
17/05/2017,153.6,154.57,149.71,150.25,50767678
16/05/2017,155.94,156.06,154.72,155.47,20048478
15/05/2017,156.01,156.65,155.05,155.7,26009719
12/05/2017,154.7,156.42,154.67,156.1,32527017
11/05/2017,152.45,154.07,152.31,153.95,27255058
10/05/2017,153.63,153.94,152.11,153.26,25805692
09/05/2017,153.87,154.88,153.45,153.99,39130363
08/05/2017,149.03,153.7,149.03,153.01,48752413
05/05/2017,146.76,148.98,146.76,148.96,27327725
04/05/2017,146.52,147.14,145.81,146.53,23371872
03/05/2017,145.59,147.49,144.27,147.06,45697034
02/05/2017,147.54,148.09,146.84,147.51,45352194
01/05/2017,145.1,147.2,144.96,146.58,33602943
28/04/2017,144.09,144.3,143.27,143.65,20860358
27/04/2017,143.92,144.16,143.31,143.79,14246347
26/04/2017,144.47,144.6,143.38,143.68,20041241
25/04/2017,143.91,144.9,143.87,144.53,18871501
24/04/2017,143.5,143.95,143.18,143.64,17134333
