Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,FALSE
Ivysaur,Grass,Poison,60,62,63,80,80,60,1,FALSE
Venusaur,Grass,Poison,80,82,83,100,100,80,1,FALSE
VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,FALSE
Charmander,Fire,Poison,39,52,43,60,50,65,1,FALSE
Charmeleon,Fire,Flying,58,64,58,80,65,80,1,FALSE
Charizard,Fire,Flying,78,84,78,109,85,100,1,FALSE
CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,FALSE
CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,FALSE
Squirtle,Water,Flying,44,48,65,50,64,43,1,FALSE
Wartortle,Water,,59,63,80,65,80,58,1,FALSE
Blastoise,Water,,79,83,100,85,105,78,1,FALSE
BlastoiseMega Blastoise,Water,,79,103,120,135,115,78,1,FALSE
Caterpie,Bug,,45,30,35,20,20,45,1,FALSE
Metapod,Bug,,50,20,55,25,25,30,1,FALSE
Butterfree,Bug,Flying,60,45,50,90,80,70,1,FALSE
Weedle,Bug,Poison,40,35,30,20,20,50,1,FALSE
Kakuna,Bug,Poison,45,25,50,25,25,35,1,FALSE
Beedrill,Bug,Poison,65,90,40,45,80,75,1,FALSE
BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,FALSE
Pidgey,Normal,Flying,40,45,40,35,35,56,1,FALSE
Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,FALSE
Pidgeot,Normal,Flying,83,80,75,70,70,101,1,FALSE
PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,FALSE
Rattata,Normal,,30,56,35,25,35,72,1,FALSE
Raticate,Normal,,55,81,60,50,70,97,1,FALSE
Spearow,Normal,Flying,40,60,30,31,31,70,1,FALSE
Fearow,Normal,Flying,65,90,65,61,61,100,1,FALSE
Ekans,Poison,,35,60,44,40,54,55,1,FALSE
Arbok,Poison,,60,85,69,65,79,80,1,FALSE
Pikachu,Electric,,35,55,40,50,50,90,1,FALSE
Raichu,Electric,,60,90,55,90,80,110,1,FALSE
